Task_Number,Task_Description,Status1,Project_Code,Project_Name,Science_Area_Name,SELN_TYPE11_CODE,USER_FLD20
H32000,Team Overheads - Team 320 Biotransformation,A,320,Biotransformation,Biotransformation,BI,TEAM
H32040,Blue sky,A,320,Biotransformation,Biotransformation,BI,TEAM
H32041,Proposal development,A,320,Biotransformation,Biotransformation,BI,TEAM
H32042,Opportunity development,A,320,Biotransformation,Biotransformation,BI,TEAM
H32043,Capability development,A,320,Biotransformation,Biotransformation,BI,TEAM
H32044,Team H&S,A,320,Biotransformation,Biotransformation,BI,TEAM
H32045,H&S representative,A,320,Biotransformation,Biotransformation,BI,TEAM
H32046,Lab management and maintenance,A,320,Biotransformation,Biotransformation,BI,TEAM
H32047,Strategic team funded initiatives,A,320,Biotransformation,Biotransformation,BI,TEAM
H32048,Equipment maintenance,A,320,Biotransformation,Biotransformation,BI,TEAM
H32049,Scion community,A,320,Biotransformation,Biotransformation,BI,TEAM
H32050,General admin,A,320,Biotransformation,Biotransformation,BI,TEAM
H32052,PostDoc Supervision,A,320,Biotransformation,Biotransformation,BI,TEAM
H32056,Sample Storage Transfers,A,320,Biotransformation,Biotransformation,BI,TEAM
H32100,Team Overheads - Team 321 Biopolymer and Green Chemical Tech,A,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32120,Biodegradation plant Maintenance,A,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32140,Blue sky,A,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32141,Proposal development,A,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32142,Opportunity development,A,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32143,Capability development,A,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32144,Team H&S,A,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32145,H&S representative,A,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32146,Lab management and maintenance,A,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32147,Strategic team funded initiatives,A,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32148,Equipment maintenance,A,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32149,Scion community,A,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32150,General admin,A,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32153,Jamie Bridson Secondment,I,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32154,Packaging customer development,A,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32155,Equipment Maintenance - 3D Printers,A,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32156,Sample Storage Transfers,A,321,Biopolymer and Chemical Technologies,BioPolymers and Chemicals,BP,TEAM
H32200,Team Overheads - Team 322 Wood and Biofibre Technologies,A,322,Wood and Biofibre Technologies,Wood and Fibre,WF,TEAM
H32216,Coolroom maintenance,A,322,Wood and Biofibre Technologies,Wood and Fibre,WF,TEAM
H32240,Blue sky,A,322,Wood and Biofibre Technologies,Wood and Fibre,WF,TEAM
H32241,Proposal development,A,322,Wood and Biofibre Technologies,Wood and Fibre,WF,TEAM
H32242,Opportunity development,A,322,Wood and Biofibre Technologies,Wood and Fibre,WF,TEAM
H32243,Capability development,A,322,Wood and Biofibre Technologies,Wood and Fibre,WF,TEAM
H32244,Team H&S,A,322,Wood and Biofibre Technologies,Wood and Fibre,WF,TEAM
H32245,H&S representative,A,322,Wood and Biofibre Technologies,Wood and Fibre,WF,TEAM
H32246,Lab management and maintenance,A,322,Wood and Biofibre Technologies,Wood and Fibre,WF,TEAM
H32247,Strategic team funded initiatives,A,322,Wood and Biofibre Technologies,Wood and Fibre,WF,TEAM
H32248,Equipment maintenance,A,322,Wood and Biofibre Technologies,Wood and Fibre,WF,TEAM
H32249,Scion community,A,322,Wood and Biofibre Technologies,Wood and Fibre,WF,TEAM
H32250,General admin,A,322,Wood and Biofibre Technologies,Wood and Fibre,WF,TEAM
H32256,Sample Storage Transfers,A,322,Wood and Biofibre Technologies,Wood and Fibre,WF,TEAM
J20300,Pilot Plant,A,322,Wood and Biofibre Technologies,Wood and Fibre,WF,TEAM
H33000,Team Overheads - Team 330 Forest Industry Informatics,A,330,Forest Industry Infomatics,Forest Industry Infomatics,FI,TEAM
H33040,Blue sky,A,330,Forest Industry Infomatics,Forest Industry Infomatics,FI,TEAM
H33041,Proposal development,A,330,Forest Industry Infomatics,Forest Industry Infomatics,FI,TEAM
H33042,Opportunity development,A,330,Forest Industry Infomatics,Forest Industry Infomatics,FI,TEAM
H33043,Capability development,A,330,Forest Industry Infomatics,Forest Industry Infomatics,FI,TEAM
H33044,Team H&S,A,330,Forest Industry Infomatics,Forest Industry Infomatics,FI,TEAM
H33045,H&S representative,A,330,Forest Industry Infomatics,Forest Industry Infomatics,FI,TEAM
H33046,Lab management and maintenance,A,330,Forest Industry Infomatics,Forest Industry Infomatics,FI,TEAM
H33047,Strategic team funded initiatives,A,330,Forest Industry Infomatics,Forest Industry Infomatics,FI,TEAM
H33048,Equipment maintenance,A,330,Forest Industry Infomatics,Forest Industry Infomatics,FI,TEAM
H33049,Scion community,A,330,Forest Industry Infomatics,Forest Industry Infomatics,FI,TEAM
H33050,General admin,A,330,Forest Industry Infomatics,Forest Industry Infomatics,FI,TEAM
H33051,Forest Industry Informatics – ilam upgrade,A,330,Forest Industry Infomatics,Forest Industry Infomatics,FI,TEAM
H33056,Sample Storage Transfers,A,330,Forest Industry Infomatics,Forest Industry Infomatics,FI,TEAM
H33100,Team Overheads - Team 331 Forest Systems,A,331,Forest Systems,Forest Systems,FS,TEAM
H33107,Team Related Research,A,331,Forest Systems,Forest Systems,FS,TEAM
H33140,Blue sky,A,331,Forest Systems,Forest Systems,FS,TEAM
H33141,Proposal development,A,331,Forest Systems,Forest Systems,FS,TEAM
H33142,Opportunity development,A,331,Forest Systems,Forest Systems,FS,TEAM
H33143,Capability development,A,331,Forest Systems,Forest Systems,FS,TEAM
H33144,Team H&S,A,331,Forest Systems,Forest Systems,FS,TEAM
H33145,H&S representative,A,331,Forest Systems,Forest Systems,FS,TEAM
H33146,Lab management and maintenance,A,331,Forest Systems,Forest Systems,FS,TEAM
H33147,Strategic team funded initiatives,A,331,Forest Systems,Forest Systems,FS,TEAM
H33148,Equipment maintenance,A,331,Forest Systems,Forest Systems,FS,TEAM
H33149,Scion community,A,331,Forest Systems,Forest Systems,FS,TEAM
H33150,General admin,A,331,Forest Systems,Forest Systems,FS,TEAM
H33151,Forest Systems - NIWA Relocation Activities,A,331,Forest Systems,Forest Systems,FS,TEAM
H33152,Operations Manager – Ilam,A,331,Forest Systems,Forest Systems,FS,TEAM
H33156,Sample Storage Transfers,A,331,Forest Systems,Forest Systems,FS,TEAM
H33200,Team Overheads - Team 332 Forest Protection,A,332,Forest Protection,Forest Protection,FP,TEAM
H33214,ISO for FHRL,A,332,Forest Protection,Forest Protection,FP,TEAM
H33240,Blue sky,A,332,Forest Protection,Forest Protection,FP,TEAM
H33241,Proposal development,A,332,Forest Protection,Forest Protection,FP,TEAM
H33242,Opportunity development,A,332,Forest Protection,Forest Protection,FP,TEAM
H33243,Capability development,A,332,Forest Protection,Forest Protection,FP,TEAM
H33244,Team H&S,A,332,Forest Protection,Forest Protection,FP,TEAM
H33245,H&S representative,A,332,Forest Protection,Forest Protection,FP,TEAM
H33246,Lab management and maintenance,A,332,Forest Protection,Forest Protection,FP,TEAM
H33247,Strategic team funded initiatives,A,332,Forest Protection,Forest Protection,FP,TEAM
H33248,Equipment maintenance,A,332,Forest Protection,Forest Protection,FP,TEAM
H33249,Scion community,A,332,Forest Protection,Forest Protection,FP,TEAM
H33250,General admin,A,332,Forest Protection,Forest Protection,FP,TEAM
H33256,Sample Storage Transfers,A,332,Forest Protection,Forest Protection,FP,TEAM
H33260,Market access publications,A,332,Forest Protection,Forest Protection,FP,TEAM
H33261,Sirex opportunity development,A,332,Forest Protection,Forest Protection,FP,TEAM
H33263,C Dunker historical publications,A,332,Forest Protection,Forest Protection,FP,TEAM
H33300,Team Overheads - Team 333 Forest Genetics,A,333,Forest Genetics,Forest Genetics,FG,TEAM
H33340,Blue sky,A,333,Forest Genetics,Forest Genetics,FG,TEAM
H33341,Proposal development,A,333,Forest Genetics,Forest Genetics,FG,TEAM
H33342,Opportunity development,A,333,Forest Genetics,Forest Genetics,FG,TEAM
H33343,Capability development,A,333,Forest Genetics,Forest Genetics,FG,TEAM
H33344,Team H&S,A,333,Forest Genetics,Forest Genetics,FG,TEAM
H33345,H&S representative,A,333,Forest Genetics,Forest Genetics,FG,TEAM
H33346,Lab management and maintenance,A,333,Forest Genetics,Forest Genetics,FG,TEAM
H33347,Strategic team funded initiatives,A,333,Forest Genetics,Forest Genetics,FG,TEAM
H33348,Equipment maintenance,A,333,Forest Genetics,Forest Genetics,FG,TEAM
H33349,Scion community,A,333,Forest Genetics,Forest Genetics,FG,TEAM
H33350,General admin,A,333,Forest Genetics,Forest Genetics,FG,TEAM
H33351,Team 333 - RPBC Breeding Strategy Relationships,A,333,Forest Genetics,Forest Genetics,FG,TEAM
H33352,Propagation proposal,A,333,Forest Genetics,Forest Genetics,FG,TEAM
H33353,Tomorrows totara,A,333,Forest Genetics,Forest Genetics,FG,TEAM
H34100,Team Overheads - Team 341 Clean Technology,A,341,Clean Technologies,Clean Technologies,CT,TEAM
H34140,Blue sky,A,341,Clean Technologies,Clean Technologies,CT,TEAM
